ID;C1;C2;R1;R2;R3;R4;R5;R6;R7;M1;M2
0;2310;1032;1456;946;466;1496;192;805;2135;1337;490
1;4701;1488;2037;1529;661;1692;85;1782;2647;2268;492
2;6024;360;1928;1713;670;985;85;2041;1190;2893;456
3;5697;1388;2090;1724;762;144;313;2081;878;1021;377
4;5951;2231;1567;1317;471;269;322;1130;1514;784;340
5;6431;2567;820;488;417;317;682;410;1805;1388;391
6;6531;2744;506;258;661;482;1288;245;2307;1992;321
7;6821;3128;230;350;1214;655;1619;114;2504;2365;410
8;7138;3290;322;295;1440;787;2017;179;2565;3040;437
9;7011;3562;424;120;1941;990;2017;122;2709;3528;491
10;7446;3541;497;110;1848;1199;2396;113;2824;3851;570
11;7292;3660;451;46;1685;1412;2178;169;2789;4141;689
12;7591;3515;470;18;2274;1588;2652;122;3023;4331;675
13;8025;3433;534;18;2038;1790;3021;169;3009;4544;835
14;7899;2447;424;28;2192;1915;3485;132;3210;4384;846
15;7817;2650;635;37;2101;2000;3542;681;3533;3693;1015
16;7663;3165;1234;101;2391;2141;3902;1629;3723;3936;929
17;7636;3990;1473;147;2455;2125;4129;2326;4063;4248;855
18;7781;4650;1621;267;2572;1872;4176;2286;4383;4555;822
19;8406;5179;1501;497;2654;2051;4574;2420;4672;5051;742
20;10951;5903;1363;433;2582;1852;5095;2448;5076;5259;522
21;12736;5356;1621;737;2763;1839;4479;2298;5278;5787;492
22;15833;4812;1446;764;2473;1782;5530;2271;4097;5579;420
23;17047;4833;1648;820;2799;1680;3532;2586;4028;3861;407
24;17708;3826;1961;930;2446;1695;2045;2580;2664;4208;329
25;16014;2958;2162;810;2862;1612;1752;2563;1472;2272;307
26;14819;2965;2081;856;2355;1518;1714;2872;2389;1668;289
27;12853;3027;1855;967;2038;1513;1610;3023;1658;3253;345
28;11168;3363;1484;829;1513;1552;1809;2637;1478;2331;351
29;9185;3563;1418;856;1525;1551;2225;2651;2197;2560;390
30;8361;3732;810;829;1561;1611;2405;2401;2584;3344;488
31;8016;3567;562;1077;1727;1556;2756;1638;2778;4032;549
32;7672;3645;470;1215;1893;1713;2813;697;2848;3555;605
33;7482;3598;442;838;1531;1560;2879;179;2964;4064;664
34;8080;3782;451;285;1809;1747;3333;104;3279;4387;740
35;8034;3902;562;157;2029;1802;3513;66;3437;4805;769
36;8496;3921;543;101;1984;1914;3466;141;3274;4917;874
37;8614;4082;552;18;2283;1918;3759;38;3558;5045;909
38;8913;2897;701;83;2312;1942;4129;85;3723;4661;1000
39;7971;3315;977;37;2437;1980;3845;499;3924;4448;1051
40;7853;3547;1524;46;2255;2141;4375;1478;3753;4587;1030
41;7301;4230;2366;239;2455;2098;4252;1836;3855;4587;1123
42;7889;4980;2440;267;2835;2166;3996;1817;3868;4992;1008
43;9312;5709;2431;378;2717;2084;4422;1921;3950;5632;893
44;11187;6575;2320;497;2899;2082;4347;2119;3785;6149;785
45;13958;6837;2155;580;2944;1924;3996;1893;4376;6752;656
46;17183;6641;2053;571;2889;1918;4460;1987;4802;6709;564
47;18324;5352;2274;543;2095;1651;4564;2194;2279;5200;397
48;18524;3723;2182;801;691;1447;3835;2335;1180;1420;321
49;17817;2425;2311;672;412;1288;2367;2335;1915;982;284
50;15996;2937;2099;608;199;1281;1108;2194;2379;1557;236
51;15888;3255;2238;516;155;1215;455;1608;2587;2081;229
52;13868;3062;2449;497;164;1170;426;1359;3131;2787;248
53;12328;2979;1381;543;558;1160;407;1318;3816;3611;312
54;10688;3728;672;608;694;1079;710;1151;4092;3507;379
55;10380;3967;378;654;1179;1086;1714;734;4292;4693;494
56;8750;4195;230;737;1377;1154;2282;273;4403;4352;581
57;9212;4425;350;313;1612;1209;2708;132;4573;5083;607
58;9420;4253;359;221;1984;1202;2992;75;4547;5307;759
59;9176;4312;304;110;1866;1193;3277;66;4638;5792;848
60;9239;4458;470;110;2391;1201;3608;75;4814;5723;911
61;9040;4890;405;55;2736;1227;3883;104;4543;6037;1048
62;9466;2224;433;120;3011;1297;4498;66;4271;5909;1104
63;8723;3485;829;65;2808;1332;4621;734;4352;4789;1154
64;8170;4344;1510;110;2971;1417;4366;2326;4418;5163;1157
65;9121;5583;2090;387;3542;1275;5331;2731;4652;5541;1079
66;9710;6461;2247;414;3270;1329;5786;2778;4936;5664;945
67;10453;7329;2238;663;3351;1345;5786;3296;4728;6272;842
68;11585;7783;2477;718;3496;1304;6638;3183;4839;6448;717
69;12736;8218;2219;737;3216;1261;7292;3277;4776;7232;649
70;13361;8100;2192;884;2754;1426;7140;3842;5324;7029;631
71;14167;7595;2311;1013;3134;1366;7888;3582;4943;7275;439
72;14837;6592;2145;948;2002;1149;7348;3559;4343;6731;294
73;14139;5901;2477;1014;788;1082;7367;3361;4825;6997;253
74;13406;5412;2440;1160;389;1102;6856;2885;4965;6373;281
75;11893;4329;2670;1123;707;1097;6638;3397;4852;5771;406
76;10229;2047;3877;1483;942;1220;6032;3719;4754;6224;507
77;8948;3530;3674;1436;1304;1417;5814;4058;4585;5365;634
78;7527;4014;2661;1602;2980;1620;5682;3019;4756;4901;761
79;8306;4189;1575;1934;4076;1588;5587;1817;4828;4987;909
80;8795;4171;1179;1621;3804;1643;5511;744;4711;4976;948
81;9420;4350;1050;755;3469;1685;5085;254;4502;4611;1031
82;8877;4448;1363;203;2889;1707;5436;56;4481;5227;1050
83;8958;4703;1096;120;2717;1921;5549;169;4398;5536;1066
84;9022;4767;1234;55;2708;1970;5294;141;4443;5637;1005
85;9493;4920;1151;28;2654;1953;5294;301;4087;5787;1069
86;9194;3893;1401;18;3080;2000;5644;282;4080;5595;998
87;9466;4625;1363;37;3116;1948;6032;1215;3925;4485;952
88;9783;5671;2431;101;2862;1923;5814;1930;3694;5307;854
89;10127;6722;2965;101;3179;1779;5739;2900;3323;5776;760
90;10489;6198;2993;295;2853;1498;5511;2825;2928;6032;564
91;11848;3854;3039;378;2817;1667;5256;3296;2183;6613;446
92;11821;2464;3085;552;3043;1507;5246;3785;131;3588;382
93;8161;2479;2523;1004;2989;1385;5938;3738;552;1338;291
94;5879;2293;2366;1401;2527;1210;5473;3672;1526;821;257
95;7763;2934;2302;1372;1196;1083;3759;3032;1481;1653;174
96;6096;3065;1888;1418;480;1021;3305;2514;1378;1901;176
97;7201;3043;1878;1298;217;962;2538;2279;1929;2493;161
98;8995;2652;2192;1308;145;1028;2557;2088;2109;2803;177
99;8696;1566;2176;1262;317;1195;2301;1798;1465;2080;235
100;7090;2440;1924;1427;842;1172;1903;1968;2009;1597;282
101;6005;3152;1363;1547;987;1237;1411;1789;2319;2291;327
102;5009;3168;930;1455;1322;1245;1506;1812;2549;2947;376
103;5716;3384;994;1308;978;1344;1828;2024;3005;3283;449
104;6295;3506;921;1215;707;1362;2008;1648;2934;3376;549
105;6993;3499;847;856;625;1408;2273;1968;2942;3600;583
106;7554;3459;1041;203;1024;1504;2926;1149;3195;3960;642
107;7853;3649;783;129;1250;1452;3059;537;3241;4040;809
108;6902;3696;773;92;1422;1529;3125;198;3353;4205;855
109;7319;3606;856;74;1630;1541;3494;104;3287;4619;885
110;6703;3658;829;55;1884;1636;3835;66;3446;4565;996
111;6250;3425;755;55;1929;1711;4100;19;3416;4672;1029
112;6975;3157;847;28;2165;1755;4167;19;3291;4501;1075
113;7174;2223;645;110;1993;1621;3968;141;2975;3944;1045
114;7572;496;1192;138;2509;1611;4044;66;1682;3189;1099
115;7889;188;1529;405;2545;1425;3409;113;1319;2627;968
116;8333;154;850;672;2645;704;3277;104;305;1381;793
117;9212;489;589;847;1649;94;1733;47;493;365;613
118;11150;870;396;516;643;118;549;28;1031;530;427
119;11848;1068;212;313;344;139;199;9;1643;1269;374
120;11313;1920;129;83;299;148;171;0;1973;1737;291
121;10127;2261;110;92;281;238;360;38;1559;1631;232
122;9040;2521;101;175;353;290;464;122;1528;1547;246
123;8632;2032;166;258;417;323;777;47;2019;1464;226
124;8351;1755;276;147;471;690;1278;132;2707;2057;225
125;7944;2840;230;313;716;476;1307;160;2837;2901;268
126;7355;3188;433;552;851;566;1761;329;3308;3315;322
127;7500;3722;525;663;1594;636;1828;490;3582;3984;420
128;7717;3835;433;654;1875;771;1818;632;3743;3981;442
129;7980;3717;571;829;1920;832;1250;537;4083;4019;494
130;8089;3782;396;442;1911;830;1108;292;4172;4293;596
131;8759;3737;580;193;2183;1076;1477;122;4349;4800;644
132;8795;3692;645;166;2237;1142;2055;104;4532;4885;661
133;8813;3971;442;92;2482;1286;2500;104;4565;5019;761
